id	filename	md5	size	state
00083f2c-c6aa-4e5f-9af0-945d8c9ff97b	TCGA-BH-A0B7-11A-03-TSC.f0571ac2-0655-42b9-895e-e7b4ddc6d16e.svs	157dcc1c6912c10f274314f1b0c9dae3	85387343	validated
001b023f-d2df-47cd-bec9-35e1a2d17484	TCGA-BH-A1ES-11A-02-TSB.0e522581-fccd-4efe-a915-ff1af3c5ae12.svs	dbbdf26c2773e6ef11dbd1e0138b4ccb	92978599	validated
002d2827-e1de-4f4a-8e23-059a2c6ae34d	TCGA-49-4506-01A-01-BS1.4f66461a-5fe7-43ef-98ae-35c70b66b449.svs	4a91f81d74068870c67dd71dfbc3fb31	58667225	validated
002e5e39-b790-4475-9c80-bb1f78ee26cf	TCGA-BP-4781-01A-01-TS1.ae5fee22-1188-48e9-8896-b49de7ae2de9.svs	5f291a8e13c8f0df7c981f46fb2548f3	138493381	validated
00311bc5-aad7-4428-a11e-1910308c8312	TCGA-66-2756-11A-01-TS1.1959785b-e299-41da-9f22-0cd601df48a1.svs	49d701d664d68f1c45ffd90ae133536a	70256117	validated
004e3673-e3aa-4f45-bfa8-2f9a1bf66099	TCGA-43-3920-11B-01-BS1.a0ad6d56-14f9-41e7-9f68-69a97902d091.svs	1b003150e3fe35b6dd6063f83d846c0e	114960695	validated
00740723-2431-46e3-b727-9dca9e81e2b9	TCGA-51-4081-11A-01-TS1.10ecf62d-d270-4d74-a86d-dcc13ff09549.svs	5c083a595288348c2b76a14b07e9f1fc	93442117	validated
007c5922-c122-4467-abf4-0ab3cccf3a60	TCGA-33-4583-11A-01-TS1.411467f7-1b25-4008-b82f-d508ec5e5680.svs	beafac4f56abaeb71eee2b8012d9df98	160941065	validated
0099c48b-2c2f-430c-b1de-138b3b80536f	TCGA-A2-A0YG-01A-02-TSB.8bd4f37a-7944-4379-910c-621a80229783.svs	a6ee0b9c41680a48e7c07b29b9649d81	265722831	validated
009dbd8a-53e4-4f93-a25e-a05a25777bf7	TCGA-34-5239-01A-01-BS1.a1dcf1cd-e343-4310-bba1-d8c8f5014e49.svs	c0f3431220f00235672bacad16343b54	207806101	validated
00b8b361-e8d4-4da9-b72d-11b5f731f8f8	TCGA-64-1679-01A-01-BS1.06dc184d-224d-4602-8194-fcc9392033f4.svs	a7454c176e1de3907aa186acb8405695	54891031	validated
00c2d08a-65a9-4be4-a45f-b770f31503fb	TCGA-BH-AB28-11A-01-TSA.D6EDA1EA-137E-4805-B684-6654B192505B.svs	bdb665dfb0d8c75e6de96ea098315292	67886905	validated
00c53a3c-038c-4594-9c61-6c91666589ea	TCGA-A4-7585-01A-01-BS1.35cc836c-aca5-4d04-aaa6-84db8bfb202e.svs	89658a49fb03d4d2b20a9df9c8509dee	84327819	validated
00cd9b79-7c3a-4192-b030-b8a7fb398c31	TCGA-S3-AA17-01A-01-TS1.E8CCA5B9-9FB4-4A1B-AE41-8745D4FAFD8B.svs	67b4d6a983d2cd5b1f183af400a1ee3a	267499843	validated
00d5999c-05ad-443f-add1-915bc07c1ad6	TCGA-BH-A1FB-01A-01-TSA.edd6c603-21aa-4892-a14a-74a5e8dc90a2.svs	87b9365767aa8dd747320eb97eb6f6ff	253322541	validated
00dc51b9-404e-4b9d-be16-219283ba37f7	TCGA-BH-A1EY-11A-03-TSC.5e79a2b7-1ab9-4505-8912-3e74e79f7e84.svs	c6b2017dbf9bf378af70c00aac5f7852	35931327	validated
00e33473-44b6-4f9f-a01c-f732b2d3dca8	TCGA-BH-A1FU-11B-03-TSC.955dbf0e-b2b2-4d89-bf94-7da8f525db85.svs	983334c6130202b350e69a17de3c1ac3	39395447	validated
00ec7951-ff57-4c38-b4ad-2b5bb35d65d8	TCGA-AR-A24M-01A-01-TSA.8d488967-68ed-4b82-b164-40ed483aa8ac.svs	dd0b5457cc0ced5b3ac37da65d88f1a1	315440297	validated
00ed4378-618a-45d6-9316-a9b2e21afa71	TCGA-E9-A1RG-01A-01-TSA.a9a21b11-8455-4582-a0f4-041d0637f1f1.svs	431edf04d9abab1da789bc6549c65bce	400754073	validated
00f419ad-5a0f-4846-93f1-4098a4ac83c5	TCGA-KO-8406-01A-01-TS1.7b3f0605-de4d-4691-a5d5-cee6b1712636.svs	ef1b66e6408a2db09f96f1316043800e	250073933	validated
00f9469f-84b0-4a78-8fe9-ae6e581d7de2	TCGA-AN-A0FL-01A-01-TSA.a9270e98-40e9-45f5-935a-681708f170c9.svs	163d8d54e68347bbff4157edea9efb05	656506607	validated
0106b675-40d4-48e2-bcde-07b98be7eda2	TCGA-A8-A07W-01A-01-TSA.eae41004-b3f5-4528-9e95-cbda9ea764c1.svs	437e6c83e692ff4b595e4c53a2238b29	202677857	validated
010f8747-8e0d-4573-b904-5cb93cd9a173	TCGA-BP-4777-01A-01-BS1.6366a3fa-6a6b-47aa-b4a6-bf68e95c4ea0.svs	660ff0bd94d95fd63468cfc734bf9f53	61298459	validated
011f48b1-818e-430c-9975-e7a2b0d0117a	TCGA-D8-A1Y1-01A-02-TS2.218a98c4-7528-4eb6-83d1-9866a80969d2.svs	dc4e426c9856de9062c66cdd43e06401	331597291	validated
01268092-254a-4831-958a-a378d471cb7b	TCGA-50-8457-01A-01-BS1.9992936e-be30-4fe8-80f2-d6b549786ca8.svs	0b447a59f91ab98e7a41db6f06ebbce8	137745337	validated
0128867e-ffbb-434b-826b-661368ef2218	TCGA-CZ-4864-11A-01-TS1.76d70a81-eaa2-460d-980d-a032143b767f.svs	77eddf547de9517da8dae6bbe2abd528	73577673	validated
01335c8f-beee-4340-9bba-9d82736ac36f	TCGA-49-4512-01A-02-BS2.180a6269-9edb-47b8-b295-c43753d3c5a6.svs	cf20c4dc92f0da29c26dc50c052a8b1d	151221393	validated
013e57c0-aa91-441b-90f1-4b6fa22d3a3f	TCGA-BH-A0DS-01A-01-TSA.2395f79e-a59e-4a9a-9814-4ed846745510.svs	4713cd2d2b6f61eca23712c90c3e9d47	153415809	validated
014796d9-eb1c-4c7c-aa70-e2af19e15407	TCGA-E9-A1N6-11A-03-TSC.7fc99944-9421-4376-b64c-c5f3536a02ff.svs	d0ca9afcd088c61022b5554b7363a09f	32104717	validated
014a0116-e368-47fc-b03d-0a685cbc894d	TCGA-85-6561-01A-01-TS1.383cd3d0-b2b7-4bd6-a0ce-063ec989d724.svs	e643630d59166663def5a044d511f60f	1124061135	validated
014e04aa-329e-434f-87c3-e5beec6b03e6	TCGA-DV-5574-01A-01-TS1.d2f40f19-b1fd-4272-9265-a2a0ddf18024.svs	211460910cd3bf943bf8876b6b8b7c13	251764089	validated
01512497-db0b-466e-a509-4e7ccfb460a7	TCGA-KO-8413-11A-01-TS1.5c6fb8bf-ca42-41e0-a796-7060837d862f.svs	5c2bdb4aa1688d793d13e96b1cccb6a9	450450705	validated
01605c19-f70c-4f7f-b64d-a136f8e93214	TCGA-E2-A1IU-11A-03-TSC.1e0a5cc1-d90d-4b19-9f96-93f67139fdb7.svs	140c9c7cc9238e4736f258fbefe2b079	45377717	validated
016ccdc8-9014-4723-8306-f100669984b0	TCGA-BH-A0HA-01A-01-TSA.eb27eed7-d48e-44d1-8436-0fe8a3dcef1e.svs	1f05f02c39cb9ce7adbb7bea8481bcc1	1016925461	validated
016ff0f9-a26a-4676-833b-88f2122b472f	TCGA-50-5941-01A-01-BS1.a93270f8-673e-421f-9dd2-3fe961065435.svs	2b872d7c9ae8c4c6ef8769565fbb07f3	143646707	validated
019ca29c-a1ac-4796-814a-dbc56e0f1160	TCGA-50-5068-01A-01-TS1.8a69dfc8-db3f-49d7-9611-f10cd54bbe6f.svs	a57f517a14327800857700ecdbe05071	319630859	validated
01adedbb-2fe0-4502-9e0e-b55935bf3dd2	TCGA-B8-4622-01A-01-BS1.d2f63f4d-0d21-485f-bde4-cb81cdf57fd9.svs	38dca16b796edc44d797c56a739d752c	89039687	validated
01b43e48-b026-4dcb-9902-d475cbcb6e80	TCGA-BP-4985-01A-01-TS1.068770f5-8d88-4bb9-bd01-b7a7b784f011.svs	1997f2769774a4ec3843650f63c9a7cb	167402159	validated
01bccf48-bc99-401d-b759-306b652055c1	TCGA-D8-A145-01A-01-TS1.83d825eb-20f2-410b-a33e-258c5414dccf.svs	fdb5a7d38fe57fb5f6acfad81723c656	143956683	validated
01c6a4da-6949-4b0e-b826-0e408a4dbaa9	TCGA-A8-A08F-01A-01-BS1.efa980a8-9019-4413-94a1-72f68fe860e9.svs	f91363385913c8618b060408906b0b96	224088371	validated
01ca6e6d-6d8a-43ef-ac87-a5d565564a3f	TCGA-B8-5549-01A-01-BS1.5ab335f4-b1db-494b-9732-75e0fbf2ab67.svs	c1d43f5639b5a8a3b3eff27b575e98d1	324094595	validated
01d4435e-81cc-47c6-94d4-4443b9da03ba	TCGA-CJ-4918-01A-01-BS1.60f3603c-9063-4d37-a5a8-4b9a9fa59c11.svs	5b89fc171b474362fcf1c98b1081821d	140167007	validated
01d74399-56c4-4257-9282-1c9968bb5ff5	TCGA-34-8454-01A-01-TS1.b6053670-805d-43c3-9aa2-60a7d766b2fc.svs	43e583607d4eb1f608922a152c8f0a21	238338227	validated
01da8d1e-3c1e-43be-8897-9d265bc0655b	TCGA-B6-A0IK-01A-01-BSA.37e0325b-a655-4b4c-b498-4717183addce.svs	33b7755ef0c0ee2d939f46f7853dc4bd	198213385	validated
01dacb5f-b50d-445f-96da-766ca3a8cbe5	TCGA-64-1678-01A-01-BS1.7cb663b8-f94b-4803-b581-317aaa10d113.svs	320b453af32ca5ea2af88f031e4947eb	54688095	validated
01dd5759-dc6b-48d2-bf9e-e822299d2580	TCGA-BP-4969-11A-01-TS1.c1c429b7-7769-48b5-b3fd-3dce5aa4c19a.svs	2455e1a9d9079ae9a6ae9a4a3e4e1030	42154237	validated
01debfeb-52ec-4349-9a32-048ff7867027	TCGA-GI-A2C9-11A-02-TS2.F09BC59B-29CC-45B9-80C2-20A2BF10C619.svs	250a78ba726921b97551edf80867d56a	47228983	validated
01e06aec-99a7-4a9a-92a8-1389a21e1b02	TCGA-BH-A0HA-11A-03-TSC.e33d53d9-d5f2-46fb-8c98-12b6b499560e.svs	a692eee848ce1277aac84f20fbda39c3	56227251	validated
01ece495-e27c-484d-b691-f04c89d060ce	TCGA-55-6987-01A-01-TS1.af7f2077-daf4-47c8-b1b5-2c32f0eae9a7.svs	83aafd9ebf31852873600dd8627c5e35	60315017	validated
01ff464c-9593-470a-88d4-e716e7c42d69	TCGA-HB-A3YV-01A-01-TS1.64E6F6D3-08EF-473B-963D-16B3CB77DB53.svs	98c361e83111cf8982537ff21c0c73eb	188776241	validated
020304a0-5d80-4fd2-b9f3-f385b2dc5ae1	TCGA-BP-5195-11A-01-TS1.4055f4fc-86a2-45c4-a0fa-cb086cf1d230.svs	1e76c000ea5da8a318819df2cf39a3ef	125659733	validated
